Time used: 65.32999992370605, Time in circle: 0
Time used: 66.00999999046326, Time in circle: 0
Time used: 66.64000010490417, Time in circle: 0
Time used: 67.27999997138977, Time in circle: 0
Time used: 67.89000010490417, Time in circle: 0
Time used: 68.53999996185303, Time in circle: 0
Time used: 69.14000010490417, Time in circle: 0
Time used: 69.77999997138977, Time in circle: 0
Time used: 70.40000009536743, Time in circle: 0
Time used: 71.03999996185303, Time in circle: 0
Time used: 71.71000003814697, Time in circle: 0
Time used: 72.32999992370605, Time in circle: 0
Time used: 72.96000003814697, Time in circle: 0
Time used: 73.62999987602234, Time in circle: 0
Time used: 74.26999998092651, Time in circle: 0
Time used: 74.95000004768372, Time in circle: 0
Time used: 75.62999987602234, Time in circle: 0
Time used: 76.3199999332428, Time in circle: 0
Time used: 76.95000004768372, Time in circle: 0
Time used: 77.57999992370605, Time in circle: 0
Time used: 78.26999998092651, Time in circle: 0
Time used: 78.92000007629395, Time in circle: 0
Time used: 79.51999998092651, Time in circle: 0
Time used: 80.1800000667572, Time in circle: 0
Time used: 80.79999995231628, Time in circle: 0
Time used: 81.44000005722046, Time in circle: 0
Time used: 82.0699999332428, Time in circle: 0
Time used: 82.71000003814697, Time in circle: 0
Time used: 83.34999990463257, Time in circle: 0
Time used: 84.0, Time in circle: 0
Time used: 84.62999987602234, Time in circle: 0
Time used: 85.26999998092651, Time in circle: 0
Time used: 85.91000008583069, Time in circle: 0
Time used: 86.53999996185303, Time in circle: 0
Time used: 87.1800000667572, Time in circle: 0
Time used: 87.80999994277954, Time in circle: 0
Time used: 88.44000005722046, Time in circle: 0
Time used: 89.08999991416931, Time in circle: 0
Time used: 89.73000001907349, Time in circle: 0
Time used: 90.34999990463257, Time in circle: 0
Time used: 90.98000001907349, Time in circle: 0
Time used: 91.64000010490417, Time in circle: 0
Time used: 92.27999997138977, Time in circle: 0
Time used: 92.91000008583069, Time in circle: 0
Time used: 93.54999995231628, Time in circle: 0
Time used: 94.20000004768372, Time in circle: 0
Time used: 94.83999991416931, Time in circle: 0
Time used: 95.49000000953674, Time in circle: 0
Time used: 96.11999988555908, Time in circle: 0
Time used: 96.74000000953674, Time in circle: 0
